"data_pedido","sup","inf","data_limite","id_cliente","cliente_premium","id_pedido"
"2024-03-28 11:44:51.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 11:44:51.0","426334",0,162
"2024-03-28 12:23:29.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 12:23:29.0","845298",0,163
"2024-03-28 12:26:05.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 12:26:05.0","424037",1,164
"2024-03-28 12:37:16.0","6;7;8;9;10","6;7;8;9;10","2024-04-09 12:37:16.0","587402",0,165
"2024-03-28 12:41:12.0","6;7;8;9;10","6;7;8;9","2024-04-09 12:41:12.0","124958",0,166
"2024-03-28 12:42:09.0","11;12;13;14;15","11;12;13;14;15","2024-04-09 12:42:09.0","138421",0,167
"2024-03-28 12:50:58.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 12:50:58.0","503115",0,168
"2024-03-28 12:54:18.0","1;2;3;4;5;6;7;8",,"2024-04-09 12:54:18.0","252194",0,169
"2024-03-28 14:02:30.0",,"8;8;8","2024-04-09 14:02:30.0","355134",0,170
"2024-03-28 14:08:24.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 14:08:24.0","195964",0,171
"2024-03-28 15:11:12.0","6;7;8;9;10","6;7;8;9;10","2024-04-09 15:11:12.0","270333",0,172
"2024-03-28 15:45:26.0","1;2;3;4;5;6","1;2;3;4;5;6","2024-04-09 15:45:26.0","379075",0,173
"2024-03-28 15:48:23.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 15:48:23.0","379075",0,174
"2024-03-28 16:22:10.0","1;2;3;4;5",,"2024-04-09 16:22:10.0","914898",0,175
"2024-03-28 16:22:52.0","1;2;3;4;5",,"2024-04-09 16:22:52.0","914898",0,176
"2024-03-28 17:18:58.0","13;14;15;16;17","13;14;15;16;17","2024-04-09 17:18:58.0","423409",0,177
"2024-03-28 17:33:31.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 17:33:31.0","471983",0,178
"2024-03-28 17:41:11.0",,"8;9","2024-04-09 17:41:11.0","995536",0,179
"2024-03-28 18:41:37.0","17;18;19;20;21","17;18;19;20;21","2024-04-09 18:41:37.0","114334",0,180
"2024-03-29 10:13:09.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 10:13:09.0","939802",0,181
"2024-03-29 13:04:08.0","1;2;3;4;5","1;2;3;4;5","2024-04-09 13:04:08.0","816862",0,182
"2024-03-30 07:47:39.0","11;12;13;14;15","11;12;13;14;15","2024-04-09 07:47:39.0","681265",0,183
"2024-03-30 07:48:42.0","6;7;8",,"2024-04-09 07:48:42.0","646874",0,184
"2024-04-01 08:24:34.0","16;17;18;19;20","16;17;18;19;20","2024-04-10 08:24:34.0","971711",0,185
"2024-04-01 08:26:01.0","26;27;28","26;27;28;29;30","2024-04-10 08:26:01.0","971711",0,186
"2024-04-01 08:30:25.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 08:30:25.0","897747",1,187
"2024-04-01 08:41:49.0","11;12;13;14;15","11;12;13;14;15","2024-04-10 08:41:49.0","350973",0,188
"2024-04-01 10:11:23.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 10:11:23.0","825908",0,189
